Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
xmeye,7,7,880,57,1.73,https://www.enster.com/xmeye-download,4,3.17,6,0.05,103,"8, 10, 8, 10, 10, 10, 10, 10, 8, 7, 7, 5",2026-08-07 22:35:08,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
xmeye for pc,4,4,170,30,0,https://www.enster.com/xmeye-download,3,2.38,0,0.04,106,"29, 23, 23, 29, 23, 100, 15, 12, 15, 9, 12, 19",2026-07-04 09:19:19,"Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
panoramic cctv,1,1,90,21,1.82,https://www.enster.com/fisheye-ip-camera/Fisheye-Lens-IP-Camera-nst-iph3502-f.html,3,2.38,5,1,172,"11, 11, 52, 41, 64, 100, 52, 41, 52, 52, 64, 52",2026-06-27 05:17:26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Image pack
nt98321 embedded linux dvr,4,4,70,0,0,https://www.enster.com/4ch-8ch-6-in-1-dvr/TV-Video-Recorder-Enster-with.html,3,2.38,0,0,580,100,2026-08-01 06:59:02,"Sitelinks, Reviews, Video, Related searches, AI overview",informational,Organic
switch 32,1,1,40,21,0,https://www.enster.com/pt/poe-switch/32-Port-PoE-Switch.html,2,1.58,0,0.06,5,"7, 100, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7",2026-07-27 04:03:08,"Image pack, Sitelinks, People also ask, Popular products, Related searches, AI overview","commercial, informational",Image pack
embeded dvr,1,1,90,2,3.47,https://www.enster.com/4ch-8ch-6-in-1-dvr/HD-DVR-Recorder-Enster-with-VG.html,2,1.58,6,0.53,181,"100, 28, 66, 43, 17, 0, 0, 0, 0, 7, 0, 0",2026-08-08 21:15:51,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",informational,Image pack
installation camera ip,7,7,260,8,3.46,https://www.enster.com/a-news-wireless-ip-camera-installation-tips-for-seamless-setup,1,0.79,3,0.18,167,"0, 0, 2, 2, 3, 2, 2, 100, 5, 2, 2, 4",2026-07-13 09:00:00,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
ip camera installation,7,7,260,18,4.38,https://www.enster.com/a-news-wireless-ip-camera-installation-tips-for-seamless-setup,1,0.79,4,0.15,171,"3, 4, 3, 4, 2, 2, 100, 5, 2, 2, 5, 4",2026-08-05 09:28:28,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
4ch ip camera nvr kit cctv system 5mp,7,7,90,0,0,https://www.enster.com/cctv-kit,1,0.79,0,0.33,175,"21, 43, 34, 81, 100, 21, 6, 6, 6, 6, 9, 6",2026-06-28 06:03:30,"Sitelinks, Video, Popular products, Related searches",commercial,Organic
digital ccd camera,1,1,170,34,1.32,https://www.enster.com/special-hd-camera/digital-ccd-camera.html,1,0.79,1,0.89,238,"34, 65, 65, 28, 65, 15, 21, 81, 28, 65, 81, 81",2026-07-07 12:39:41,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Image pack
crosshair camera,1,1,40,7,0,https://www.enster.com/camera-with-crosshair,1,0.79,0,0.33,189,"18, 100, 18, 100, 18, 18, 18, 18, 18, 18, 18, 18",2026-08-02 19:43:37,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, AI overview",informational,Image pack
camara cctv,1,1,70,50,1.79,https://www.enster.com/es/special-ip-camera/Face-recognition-IP-Camera-Sys.html,1,0.79,1,0.99,7640,"19, 9, 9, 9, 66, 9, 4, 80, 52, 100, 19, 4",2026-07-29 07:19:19,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Image pack
face recognition camera,7,7,720,24,2.61,https://www.enster.com/new-cctv-product/Face-Recognition-Camera-System90da161f7bdd729972f88ecb.html,1,0.79,2,0.71,160,"30, 34, 20, 24, 34, 24, 16, 24, 30, 16, 30, 24",2026-07-17 01:30:56,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches, AI overview","commercial, informational",Image pack
camera 3g wireless spy,8,8,110,8,0,https://www.enster.com/4g-security-camera/4G-Hidden-Camera.html,1,0.79,0,0.33,375000,"5, 35, 43, 100, 100, 35, 5, 5, 5, 5, 12, 5",2026-06-29 17:17:01,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches",commercial,Organic
nbd8004r fw,5,5,40,0,0,https://www.enster.com/faq/xmeye-solution-nvr-factory-neutral-ui-firmware.html,1,0.79,0,0.33,103,"14, 14, 50, 100, 14, 50, 14, 0, 14, 14, 14, 14",2026-07-18 15:08:57,"Video, Related searches",informational,Organic
miniature router,2,2,590,8,1.96,https://www.enster.com/poe-switch/mini-wifi-router.html,1,0.79,1,0.74,217,"67, 30, 36, 36, 24, 30, 36, 45, 45, 100, 55, 55",2026-07-06 08:54:50,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, Discussions and forums",commercial,Image pack
hi3520 firmware,4,4,50,9,0,https://www.enster.com/xmeye-dvr-factory-latest-firmware,1,0.79,0,0.33,100,"5, 0, 0, 5, 5, 100, 5, 5, 5, 5, 5, 5",2026-07-28 22:47:24,"Video, Video Carousel, Related searches",informational,Organic
ai57031,9,9,50,19,0,https://www.enster.com/products-detail-3377998,1,0.79,0,0,380,"7, 100, 21, 14, 35",2026-06-28 08:04:09,,informational,Organic
ptz 4x zoom 1080p bullet,4,4,50,4,0,https://www.enster.com/wireless-ptz-camera/1080P-Full-HD-4X-Optical-Zoom.html,1,0.79,0,0.33,154,"41, 41, 41, 64, 100, 23, 11, 11, 11, 11, 11, 11",2026-07-12 10:47:54,"Sitelinks, Reviews, Video, Popular products",commercial,Organic
xmeye dvr busybox linux,6,0,70,18,0,https://www.enster.com/xmeye-download,1,0.79,0,0,419,"11, 29, 17, 41, 100",2026-08-18 18:23:11,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
dvr xmeye,1,1,50,32,0,https://www.enster.com/ar/latest-firmware-of-XMEYE-DVR,1,0.79,0,1,164,"82, 41, 64, 100, 23, 11, 11, 11, 11, 23, 11, 11",2026-08-14 17:00:55,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Image pack
xmeye vms,5,5,50,50,0,https://www.enster.com/xmeye-download,1,0.79,0,0.05,79,"42, 42, 71, 71, 57, 100, 57, 57, 71, 42, 57, 71",2026-07-05 07:57:37,"Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
motorized camera,1,1,110,15,0.8,https://www.enster.com/ip-ptz-camera/Auto-Focus-IP-Camera-nst-iph5814-a.html,1,0.79,0,0.41,219,"66, 42, 66, 42, 42, 42, 42, 52, 33, 42, 52, 42",2026-07-31 23:54:31,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches",informational,Image pack
imx307,3,3,140,9,0,https://www.enster.com/products-detail-3394012,1,0.79,0,0.69,121,"5, 5, 15, 10, 12, 2, 2, 2, 100, 2, 2, 5",2026-07-19 23:52:42,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Image pack
imx307,9,9,140,9,0,https://www.enster.com/products-detail-3394012,1,0.79,0,0.69,121,"5, 5, 15, 10, 12, 2, 2, 2, 100, 2, 2, 5",2026-07-19 23:52:42,"Image pack, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
solar power supply,6,6,1900,36,2.28,https://www.enster.com/products/4g-camera/Solar-System-Accessories/60W-Solar-Pannel-DC-12V-30AH-S.html,1,0.79,2,0.74,200,"44, 65, 82, 100, 55, 44, 82, 65, 65, 65, 82, 65",2026-08-17 04:21:03,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Image pack
outdoor video camera 4g sim,19,0,40,27,0,https://www.enster.com/4g-camera,0,0,0,0.33,214,"36, 63, 81, 100, 18, 18, 18, 18, 18, 18, 18, 18",2026-08-18 13:59:19,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
camera poe ptz,9,9,70,14,1.18,https://www.enster.com/fr/ptz-camera,0,0,0,1,184,"63, 63, 36, 63, 63, 63, 81, 45, 45, 18, 18, 100",2026-07-16 14:07:45,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, AI overview","commercial, informational",Image pack
gsm remote camera,29,29,70,2,0,https://www.enster.com/4g-camera,0,0,0,0.05,184,"14, 14, 14, 14, 14, 78, 78, 100, 78, 78, 78, 78",2026-07-01 22:53:31,"Image pack, Sitelinks, Reviews, Video, People also ask, Popular products",commercial,Organic
ahd dvr 8 camera kit,12,12,480,24,0,https://www.enster.com/hd-camera-kit,0,0,0,0.33,166,"2, 100, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0",2026-06-28 18:41:57,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
construction site cameras wireless,25,25,110,20,13.24,https://www.enster.com/a-news-wireless-ip-cameras-for-construction-site-security-and-monitoring,0,0,0,0.86,180,"26, 15, 53, 65, 53, 100, 53, 42, 42, 34, 42, 42",2026-07-20 09:53:19,"Sitelinks, Reviews, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
ptz5a4m 25x,34,34,30,1,1.45,https://www.enster.com/mini-ptz,0,0,0,0.94,170,"14, 14, 14, 28, 28, 50, 14, 14, 0, 14, 14, 14",2026-06-27 14:01:01,"Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
camera an ninh,32,32,40,48,0,https://www.enster.com/vi/mini-camera,0,0,0,0.63,193,"81, 81, 18, 27, 27, 36, 27, 18, 18, 18, 18, 63",2026-06-25 14:55:37,"Image pack, Sitelinks, Reviews, Video, Popular products, Related searches",informational,Organic
camera varifocal cctv,21,21,40,10,0,https://www.enster.com/varifocal-camera,0,0,0,0.33,177,"29, 41, 41, 64, 100, 29, 5, 0, 0, 0, 0, 0",2026-07-12 16:51:28,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic
camaras de seguridad kits nvr,9,9,70,16,0,https://www.enster.com/es/cctv-kit,0,0,0,0.33,196,"6, 34, 28, 100, 34, 6, 6, 6, 6, 6, 6, 6",2026-07-28 00:36:51,"Sitelinks, Video, Video Carousel, People also ask, Popular products, AI overview",transactional,Organic
camaras de seguridad kits nvr,37,37,70,16,0,https://www.enster.com/es/cctv-kit-list-2?gad_source=1,0,0,0,0.33,196,"6, 34, 28, 100, 34, 6, 6, 6, 6, 6, 6, 6",2026-07-28 00:36:51,"Sitelinks, Video, Video Carousel, People also ask, Popular products, AI overview",transactional,Organic
camaras de seguridad kits nvr,48,48,70,16,0,https://www.enster.com/es/wireless-camera-kit,0,0,0,0.33,196,"6, 34, 28, 100, 34, 6, 6, 6, 6, 6, 6, 6",2026-07-28 00:36:51,"Sitelinks, Video, Video Carousel, People also ask, Popular products, AI overview",transactional,Organic
wifi 4ch ip camera nvr kit,36,36,260,7,0,https://www.enster.com/cctv-kit,0,0,0,0,146,"100, 4, 20, 4, 0, 0, 0, 0, 0, 0, 0, 0",2026-08-17 19:45:59,"Sitelinks, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
12mm poe cam,21,21,140,23,0,https://www.enster.com/12mp-ip-camera,0,0,0,0.33,199,"0, 5, 54, 81, 100, 28, 0, 0, 0, 0, 8, 0",2026-06-28 05:47:14,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches","commercial, informational",Organic
3g mini camera sim card,25,25,40,13,0,https://www.enster.com/products-detail-386518,0,0,0,0.33,31100000,"36, 18, 18, 81, 100, 18, 18, 18, 18, 18, 18, 18",2026-07-14 15:28:31,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
varifocal camera,37,37,90,19,2.25,https://www.enster.com/varifocal-camera,0,0,0,0.73,175,"66, 66, 52, 33, 80, 42, 14, 42, 42, 23, 42, 33",2026-07-05 02:00:10,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
pan tilt zoom camera mount,58,58,210,7,0.78,https://www.enster.com/pan-tilt-zoom-camera,0,0,0,1,189,"53, 53, 43, 34, 65, 81, 34, 34, 100, 65, 81, 81",2026-07-10 01:53:07,"Image pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
pan tilt zoom camera mount,60,60,210,7,0.78,https://www.enster.com/pan-tilt-zoom-camera,0,0,0,1,189,"53, 53, 43, 34, 65, 81, 34, 34, 100, 65, 81, 81",2026-07-10 01:53:07,"Image pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
cctv tester,9,9,260,16,0.41,https://www.enster.com/other-cctv-accessories/HD-CCTV-Tester-Monitor.html,0,0,0,1,9,"100, 81, 81, 81, 81, 53, 81, 65, 65, 65, 65, 65",2026-07-27 09:52:51,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Image pack
nvr ip camera kit,25,25,40,14,0,https://www.enster.com/cctv-kit,0,0,0,0,140,"18, 100, 18, 100, 100, 18, 18, 18, 18, 18, 18, 0",2026-07-13 00:52:15,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
sony imx307,23,23,30,14,2.08,https://www.enster.com/products-detail-4724056,0,0,0,0.52,182,"23, 17, 29, 11, 11, 11, 11, 11, 11, 11, 11, 11",2026-07-12 15:00:28,"Image pack, Sitelinks, Reviews, Video, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
camaras de seguridad con alarma sonora,17,17,70,19,1.86,https://www.enster.com/es/Sound-Light-Alarm-Camera,0,0,0,1,244,"11, 23, 23, 11, 11, 52, 11, 11, 64, 100, 100, 11",2026-07-27 05:28:26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Short videos","commercial, informational",Organic
xmeye camera,14,14,110,48,1.63,https://www.enster.com/xmeye-download,0,0,0,0.91,159,"34, 34, 53, 28, 34, 15, 28, 34, 28, 28, 34, 28",2026-07-27 12:16:43,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
pir 1080p camera 940nm,14,14,90,8,0.79,https://www.enster.com/stealth-ip-camera,0,0,0,0.96,189,"19, 53, 53, 100, 100, 34, 3, 0, 0, 0, 11, 0",2026-07-30 17:13:57,"Video, Popular products, Related searches",commercial,Organic
h 265 hevc,89,89,90,44,0,https://www.enster.com/ja/industry-news21453695d5c56903b6724d1b/What-is-HEVC--H265.html,0,0,0,0.01,193,"53, 19, 53, 53, 15, 53, 19, 53, 19, 26, 26, 53",2026-06-27 06:37:34,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
wifi camera ptz outdoor,25,25,140,11,1.02,https://www.enster.com/wireless-ptz-camera,0,0,0,1,205,"17, 82, 43, 35, 100, 35, 17, 17, 17, 12, 28, 10",2026-07-31 01:05:17,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
nvr cctv kit,18,18,50,28,0,https://www.enster.com/cctv-kit,0,0,0,0,183,"14, 78, 14, 100, 100, 14, 14, 14, 14, 14, 14, 7",2026-06-30 15:01:30,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
network video recorder installation,23,23,40,12,5.37,https://www.enster.com/a-news-setting-up-a-network-video-recorder-a-step-by-step-guide,0,0,0,0.31,165,"18, 18, 63, 45, 100, 18, 18, 18, 18, 18, 18, 18",2026-06-30 18:17:21,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
hd ip camera auto focus,23,23,50,0,0,https://www.enster.com/Motorized-Lens-IP-Camera,0,0,0,0,196,"66, 100, 100, 19, 19, 9, 0, 0, 0, 0, 0, 0",2026-07-11 16:29:30,"Sitelinks, Reviews, Video, People also ask, Popular products",commercial,Organic
imx 568,30,30,30,6,2.74,https://www.enster.com/Global-Shutter-Camera,0,0,0,0.64,114,"22, 22, 100, 22, 22, 22, 22, 22, 22, 22, 22, 22",2026-08-02 06:33:18,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
camaras de seguridad ocultas,2,2,90,23,0.19,https://www.enster.com/es/hidden-camera,0,0,0,1,209,"28, 34, 34, 34, 28, 28, 28, 28, 34, 21, 34, 28",2026-08-14 09:42:30,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Image pack
imx335,39,39,140,10,2.2,https://www.enster.com/products-detail-3394163,0,0,0,0.44,129,"52, 66, 80, 80, 52, 52, 66, 66, 66, 80, 66, 66",2026-08-07 19:07:06,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
coax dvr,39,39,170,6,0.71,https://www.enster.com/coaxial-cctv-camera,0,0,0,1,278,"1, 1, 100, 8, 6, 5, 5, 3, 3, 3, 6, 5",2026-07-29 18:57:23,"Image pack, Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
kit video surveillance system 4ch ahd,9,9,40,14,0,https://www.enster.com/hd-camera-kit,0,0,0,0,193,"12, 12, 28, 28, 7, 5, 5, 5, 5, 5, 5, 0",2026-08-17 13:02:28,"Sitelinks, Reviews, Video, Ads bottom, Video Carousel, Popular products, Related searches, AI overview",commercial,Organic
onvif port,39,39,170,15,0,https://www.enster.com/onvif-port,0,0,0,0.01,104,"65, 65, 65, 53, 53, 53, 53, 53, 43, 53, 53, 53",2026-08-02 03:46:42,"Image pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
ahd dvr kit for home,8,8,110,10,0,https://www.enster.com/hd-camera-kit,0,0,0,0.33,164,"4, 100, 4, 14, 4, 2, 2, 2, 2, 2, 2, 2",2026-07-07 21:52:29,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
ahd dvr kit for home,10,10,110,10,0,https://www.enster.com/hd-camera-kit,0,0,0,0.33,164,"4, 100, 4, 14, 4, 2, 2, 2, 2, 2, 2, 2",2026-07-07 21:52:29,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
cámara 4g sim batería,8,8,40,16,0,https://www.enster.com/es/4g-solar-camera,0,0,0,0,202,"36, 36, 100, 100, 18, 18, 18, 18, 18, 18, 18, 0",2026-08-04 02:44:08,"Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
ptz camera outdoor wireless,17,17,50,25,1.2,https://www.enster.com/wireless-ptz-camera,0,0,0,1,166,"45, 63, 81, 100, 45, 45, 36, 36, 45, 63, 36, 27",2026-08-05 16:35:20,"Sitelinks, Reviews, Video Carousel, People also ask, Popular products, Related searches, AI overview","commercial, informational",Organic
outdoor ethernet switch,32,32,170,4,0.87,https://www.enster.com/outdoor-poe-switch,0,0,0,1,199,"53, 65, 81, 81, 65, 53, 43, 34, 43, 34, 43, 65",2026-07-27 05:37:06,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
ip camera kit nvr,19,19,90,10,0,https://www.enster.com/wireless-camera-kit,0,0,0,0,175,"6, 34, 43, 81, 100, 28, 6, 6, 6, 6, 12, 0",2026-06-29 22:05:26,"Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
ip camera kit nvr,41,41,90,10,0,https://www.enster.com/cctv-kit,0,0,0,0,175,"6, 34, 43, 81, 100, 28, 6, 6, 6, 6, 12, 0",2026-06-29 22:05:26,"Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
1080 poe nvr cctv kit,36,36,40,7,0,https://www.enster.com/cctv-kit,0,0,0,0.33,174,"35, 35, 50, 100, 100, 0, 0, 0, 0, 0, 0, 0",2026-07-01 00:47:19,"Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
remote dvr,21,21,70,19,0,https://www.enster.com/a-news-digital-video-recorder-remote-configuration-managing-systems-remotely,0,0,0,0.25,197,"64, 11, 17, 64, 11, 11, 17, 64, 100, 64, 11, 11",2026-08-08 21:45:34,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
cardap,43,43,90,17,0,https://www.enster.com/indoor-wireless-ip-camera/Support-TF-Card-AP-Mode-WiFi-I-nst-iph7592-w.html,0,0,0,0.33,129000,"100, 0, 35, 64, 78, 78, 78, 100, 0, 0, 78, 78",2026-07-05 08:48:54,"Image pack, Reviews, Video, People also ask, AI overview",informational,Organic
camera nvr kit wifi,14,14,40,15,0,https://www.enster.com/wireless-camera-kit,0,0,0,0.33,164,"41, 100, 41, 64, 0, 23, 0, 0, 0, 0, 11, 0",2026-07-10 21:05:42,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches",transactional,Organic
camera nvr kit wifi,22,22,40,15,0,https://www.enster.com/cctv-kit,0,0,0,0.33,164,"41, 100, 41, 64, 0, 23, 0, 0, 0, 0, 11, 0",2026-07-10 21:05:42,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches",transactional,Organic
camera nvr kit wifi,39,39,40,15,0,https://www.enster.com/cctv-kit,0,0,0,0.33,164,"41, 100, 41, 64, 0, 23, 0, 0, 0, 0, 11, 0",2026-07-10 21:05:42,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Popular products, Related searches",transactional,Organic
8 camera kit nvr free,28,28,90,10,0,https://www.enster.com/cctv-kit,0,0,0,0.33,179,"19, 65, 53, 100, 100, 26, 7, 7, 7, 7, 15, 7",2026-06-28 05:58:32,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
8 camera kit nvr free,30,30,90,10,0,https://www.enster.com/cctv-kit,0,0,0,0.33,179,"19, 65, 53, 100, 100, 26, 7, 7, 7, 7, 15, 7",2026-06-28 05:58:32,"Sitelinks, Reviews, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
cctv camera kit nvr monitor,16,16,50,28,0,https://www.enster.com/cctv-kit,0,0,0,0.33,174,"35, 35, 35, 64, 100, 28, 14, 14, 14, 14, 14, 14",2026-07-12 16:11:58,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
loss prevention cameras,45,45,50,7,17.4,https://www.enster.com/a-news-the-role-of-wireless-ip-cameras-in-retail-loss-prevention,0,0,0,0.45,170,"19, 14, 23, 42, 23, 33, 33, 23, 33, 19, 9, 19",2026-07-29 01:56:21,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
دوربین مداربسته,55,55,390,28,0,https://www.enster.com/fa/tuya-cctv,0,0,0,0.13,128,"36, 20, 20, 36, 30, 30, 81, 6, 13, 3, 5, 6",2026-08-03 03:49:47,"Image pack, Sitelinks, Reviews, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
camera outdoor wifi nvr kit,20,20,40,25,1.7,https://www.enster.com/wireless-camera-kit,0,0,0,1,167,"41, 41, 29, 64, 100, 23, 0, 0, 0, 0, 0, 0",2026-07-19 00:46:04,"Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
